Название,Категория
Лабораторное обследование почек,Лабораторная диагностика
"Беременность - Пренатальный скрининг трисомий I триместра беременности (синдром Дауна), PRISCA",Лабораторная диагностика
Генетическая диагностика фенилкетонурии. Анализ гена РАН,Лабораторная диагностика
"Генетическое установление отцовства/материнства (3 участника: ребенок, безусловный родитель, предполагаемый родитель)",Лабораторная диагностика
Генетическое установление отцовства/материнства (2 участника: ребенок и предполагаемый родитель),Лабораторная диагностика
Консультация врача-зндокринолога повторная ( высшей категории),Консультация специалиста
	Консультация врача-оториноларинголога с применением телемедицинских технологий,Консультация специалиста
Забор и доставка анализов в лабораторию в рамках консультации врача (без учета стоимости исследований) в пределах КАД в будние и выходные дни,Консультация специалиста
Вызов врача на дом (город),Консультация специалиста
"Наложение лечебной и защитной повязки  (1/2 челюсти) (Septopack, Диплен) по выбору врача",Консультация специалиста
Консультация врача  (РЕВМАТОЛОГИЯ),Консультация специалиста
"Консультация врача - кардиолога, зав.отд., вед.спец-та с ЭКГ первичная в амбулатории",Консультация специалиста
"Консультация врача акушера-гинеколога (профессора, д.м.н. )",Консультация специалиста
Осмотр врача психиатора,Консультация специалиста
Дистанционная консультация врача-педиатра повторно в рамках одного заболевания,Консультация специалиста
4.1.2. ОСМОТР ВРАЧА-ДЕРМАТОВЕНЕРОЛОГА,Консультация специалиста
Первичная консультация врача травматолога-ортопеда К.М.Н.,Консультация специалиста
Вызов врача на дом Автозаводский район с экспертизой временной нетрудоспособности.,Консультация специалиста
Консультация врача-хирурга высшей категории,Консультация специалиста
"осмотр, консультация врача стоматолога",Консультация специалиста
Первичная консультация врача - ангиохирурга,Консультация специалиста
Консультация врача по лечебной физкультуре (ЛФК),Консультация специалиста
"Забор биоматериала на РИФ,ДНК исследование,без консультации врача",Консультация специалиста
"Консультация врача-колопроктолога, первичная",Консультация специалиста
Консультация  врача - стоматолога с оформлением документ.,Консультация специалиста
Консультация врача  (КАРДИОЛОГИЯ),Консультация специалиста
Консультация врача терапевта с выдачей медицинской справки,Консультация специалиста
Консультация врача терапевта на дому в будние дни,Консультация специалиста
"Консультация врача - уролога, зав.отд., вед.спец-та с проведением УЗИ предстательной железы повторная в амбулатории",Консультация специалиста
Консультация врача высшей категории (К.М.Н.),Консультация специалиста
"II Первичная консультация врача-оториноларинголога (в.к., к.м.н.)",Консультация специалиста
Повторная консультация врача (Педиатр),Консультация специалиста
"""""""Ложный""""  выезд врача, мед. персонала за пределы МКАД  до 30км """,Консультация специалиста
Консультация врача -хирурга повторная,Консультация специалиста
Выезд врача специалиста на дом первичный,Консультация специалиста
"Вызов врача-специалиста (в пределах черты города, частный сектор, без стоимости консультации)",Консультация специалиста
"Услуга по введению вакцины АС-анатоксин (столбняк) детский и взрослый (включая препарат и инъекцию, без осмотра врача)",Консультация специалиста
Забор мазка на бактериальный посев с предварительной консультацией врача,Консультация специалиста
"Консультация врача-дерматовенеролога, дистанционная",Консультация специалиста
Консультация врача-специалиста по профилю (к.м.н.).,Консультация специалиста
Вызов врача-терапевта на дом (по городу),Консультация специалиста
Консультация врача-гематолога первичная,Консультация специалиста
Консультация врача-специалиста на дому,Консультация специалиста
Повторная консультация врача-отоларинголога,Консультация специалиста
Консультация врача высшей категории; повторный,Консультация специалиста
Осмотр (консультация) врача-физиотерапевта,Консультация специалиста
Консультация врача-психотерапевта Шестакова К.А.,Консультация специалиста
Консультация врача невролога высшей категории,Консультация специалиста
Консультация врача-педиатра по результатам анализов,Консультация специалиста
Консультация врачапедиатра для детей старше года,Консультация специалиста
"Консультация врача хирурга, леч.-диагн., амб., повторная",Консультация специалиста
"Консультация врача-аллерголога, иммунолога",Консультация специалиста
Повторная консультация врача терапевта (в течение 1 месяца),Консультация специалиста
"Выезд врача-специалиста на дом на автомобиле поликлиники для жителей Кировского,Ленинского,Первомайского районов",Консультация специалиста
Осмотр врача - терапевта,Консультация специалиста
Заключение врача профпатолога,Консультация специалиста
Консультация врача оториноларинголога (ЛОР) первичная,Консультация специалиста
Дистанционная консультация врача хирурга повторно в рамках одного заболевания,Консультация специалиста
Повторная консультация врача хирурга по листку нетрудоспособности,Консультация специалиста
Повторная консультация врача проктолога (в течение 1 месяца),Консультация специалиста
Консультация врача-иммунолога,Консультация специалиста
Первичная консультация врача-терапевта,Консультация специалиста
Консультация врача отоларинголога повторная (по одному заболеванию в течение 30 дней),Консультация специалиста
"Консультация врача-терапевта перв., на дому, до 10 км от МКАД",Консультация специалиста
Консультация врача-проктолога,Консультация специалиста
Консультация врача по вопросам профилактики клещевых инфекций в регионах 3 ценовой категории*,Консультация специалиста
Первичная консультация врача-педиатра,Консультация специалиста
Заключение врача-рентгенолога с описанием R-снимков,Консультация специалиста
11рием (осмотр.консультация) врача-стоматолога-терапевта повторный,Консультация специалиста
Дистанционная консультация врача дерматолога,Консультация специалиста
Первичная консультация врача-гастроэнтеролога,Консультация специалиста
"Консультация врача-детского эндокринолога, дистанционная",Консультация специалиста
"Осмотр (консультация) врача-физиотерапевта (первичный, заведующего отделением)",Консультация специалиста
"Консультация врача I, II категории первичная (Егоров Р.А.)",Консультация специалиста
"Консультация врача-педиатра, леч.-диагн., амб., повторная",Консультация специалиста
Консультация врача стоматолога с составлением плана лечения,Консультация специалиста
"Консультация врача - эндокринолога, зав.отд., вед.спец-та повторная в амбулатории",Консультация специалиста
"Консультация врача-невролога (имеющего почетное звание «Заслуженный врач», заведующего отделением РБ)",Консультация специалиста
"Выезд врача-педиатра на дом, удаленность В  (Советский район (Щ, Демакова, Шлюз, Нижняя Ельцовка, Каинская заимка) п.Геологов, п.Кирова, п.Новый; Ленинский район (Станиславский, Троллейный))",Консультация специалиста
"Консультация врача акушера - гинеколога, репродуктолога, врача - эксперта Кузьминой С.Е.",Консультация специалиста
Консультация врача вертебролога,Консультация специалиста
Консультация врача акушера-гинеколога (повторная),Консультация специалиста
"Консультация врача-флеболога(сосудистого-хирурга), первичная",Консультация специалиста
Консультация врача (ДЕРМАТОЛОГИЯ),Консультация специалиста
Консультация врача-дерматовенеролога + дерматоскопия первично,Консультация специалиста
Осмотр (консультация) врача-терапевта на дому,Консультация специалиста
Консультация врача - терапевта повторная в амбулатории,Консультация специалиста
Консультация врача акушера - гинеколога,Консультация специалиста
Налож.изолир.npoKn.(GC Fugi Vitrebond Dyrsct Vitremer lonosit) по выб.врача,Консультация специалиста
Повторная консультация врача - офтальмолога,Консультация специалиста
Консультация ЛОР врача повторная,Консультация специалиста
Консультация врача - терапевта для выдачи  справки в амбулатории,Консультация специалиста
Консультация врача невролога повторная,Консультация специалиста
"Консультация врача гинеколога, леч.-диагн., амб., первичная",Консультация специалиста
Консультация врача гинеколога,Консультация специалиста
Дистанционная консультация врача кардиолога,Консультация специалиста
"Консультация кандидата медицинских наук, врача высшей категории дерматовенеролога",Консультация специалиста
Консультация врача-гастроэнтеролога (первична,Консультация специалиста
"Консультация врача- уролога, повторная",Консультация специалиста
Консультация врача оториноларинголога детского первичная,Консультация специалиста
Первичная консультация врача  невролога (вертебролога),Консультация специалиста
Первичная консультация врача Невролог,Консультация специалиста
Консультация врача - стоматолога,Консультация специалиста
Повторное посещение врача - эндокринолога,Консультация специалиста
Консультация врача-дерматовенеролога первичная,Консультация специалиста
Консультация врача - акушера - гинеколога с микроскопическим исследованием мазка,Консультация специалиста
"Осмотр (консультация) врача-физиотерапевта, первичный (у детей)",Консультация специалиста
Консультация врача - терапевта первичная,Консультация специалиста
Вызов врача терапевта отделения медицинской помощи на дому (Выборгский район ограниченная зона обслуживания),Консультация специалиста
Повторная консультация врача кардиолога (в течение 1 месяца),Консультация специалиста
"Консультация врача - гинеколога, зав.отд., вед.спец-та первичная в амбулатории",Консультация специалиста
вызов врача терапевта на дому в пределах 10 км от КАД в рабочие дни,Консультация специалиста
Первичная консультация врача - кардиолога,Консультация специалиста
Осмотр врача-уролога,Консультация специалиста
Консультация врача - травматолога первичная в амбулатории,Консультация специалиста
Осмотр (консультация) врача-физиотерапевта (высшей категории),Консультация специалиста
"Консультация врача-терапевта первичная (б/к, 2, 1 категории)",Консультация специалиста
"Консультация врача - аллерголога, зав.отд., вед.спец-та первичная в амбулатории",Консультация специалиста
Первичная консультация врача (Эндокринолог),Консультация специалиста
Консультация врача - уролога повторная в амбулатории,Консультация специалиста
Консультация врача-терапевта по результатам анализов (в поликлинике),Консультация специалиста
Консультация врача стоматолога первичная,Консультация специалиста
Дистанционная консультация врача кардиолога повторно в рамках одного заболевания,Консультация специалиста
Консультация  врача специалиста повторная,Консультация специалиста
Дистанционная консультация врача-специалиста,Консультация специалиста
Консультация врача-ревматолога,Консультация специалиста
Дистанционная консультация врача-терапевта повторно в рамках одного заболевания,Консультация специалиста
"Первичная консультация педиатра, терапевта, врача общей практики на дому в районе клиники",Консультация специалиста
"Консультация врача-гастроэнтеролога, первичная",Консультация специалиста
"Консультация врача-педиатра, первичная",Консультация специалиста
Осмотр (консультация) врача-физиотерапевта | повторный,Консультация специалиста
"Первичная консультация педиатра, семейного врача на дому в районе клиники",Консультация специалиста
Повторная консультация врача (уролог),Консультация специалиста
Первичная консультация врача КМН онколога,Консультация специалиста
Консультации: Консультация врача-онколога,Консультация специалиста
Консультация врача - дерматолога первичная в амбулатории,Консультация специалиста
Первичный осмотр врача-педиатра,Консультация специалиста
"Консультация оториноларинголога, врача высшей категории первично",Консультация специалиста
"Консультация врача-аллерголога, повторная",Консультация специалиста
"Консультация врача оториноларинголога, первичная",Консультация специалиста
Консультация врача - эндокринолога первичная в амбулатории,Консультация специалиста
"Первичная консультация педиатра, терапевта, врача общей практики на дому удаленно от клиники с оформлением листа нетрудоспособности 1 радиус",Консультация специалиста
Консультация  врача невролога повторная,Консультация специалиста
Консультация  врача- маммолога,Консультация специалиста
"Осмотр (консультация) врача-физиотерапевта, повторный.",Консультация специалиста
Консультация врача:   терапевт,Консультация специалиста
"Консультация врача-акушера-гинеколога, леч.-диагн., амб., первичная (врач ВК, КМН Гюсан О.А.)",Консультация специалиста
Дистанционная консультация врача-терапевта первичная,Консультация специалиста
Консультация врача-акушера-гинеколога высшей категории,Консультация специалиста
Консультация врача пульмонолога,Консультация специалиста
Консультация врача-дерматолога перв. амбул. (ДМС),Консультация специалиста
"Осмотр врача-офтальмолога перед интравитреальной инъекцией, включающий стандартное офтальмологическое обследование",Консультация специалиста
Осмотр (консультация) врача-физиотерапевта | Осмотр (консультация) врача-физиотерапевта повторный,Консультация специалиста
"Консультация врача стоматолога, кандидата Медицинских Наук",Консультация специалиста
"18.1.7 Первичная консультация врача мануального терапевта, рефлексотерапевта",Консультация специалиста
Повторная консультация врача-травматолога-ортопеда,Консультация специалиста
Консультация детского врача - невролога повторная в амбулатории,Консультация специалиста
Первичная консультация врача-эндокринолога,Консультация специалиста
Вызов врача специалиста на дом в отдалённые районы города,Консультация специалиста
Осмотр (консультация) врача-физиотерапевта повторный,Консультация специалиста
"Консультация врача акушера-гинеколога, первичная",Консультация специалиста
Ортопантомография зубов без заключения врача-рентгенолога,Консультация специалиста
Консультация врача — колопроктолога,Консультация специалиста
Повторная консультация врача оториноларинголога,Консультация специалиста
Консультация врача акушера-гинеколога. КМН (повторная),Консультация специалиста
Консультация врача-невролога с применением телемедицинских технологий,Консультация специалиста
"Консультация врача-невролога (имеющего почетное звание ""Заслуженный врач"", заведующего отделение РБ)",Консультация специалиста
Осмотр врача-гинеколога,Консультация специалиста
Консультация врача маммолога-онколога,Консультация специалиста
Первичная консультация врача - ДЕТСКОГО невролога,Консультация специалиста
Консультация врача на дому  (IIзона) (транспорт поликлиники),Консультация специалиста
Первичная консультация врача - ревматолога,Консультация специалиста
ОСМОТР ВРАЧА-ОТОЛАРИНГОЛОГА,Консультация специалиста
Консультация врача,Консультация специалиста
"Консультация врача невролога, вертеброневролога, ортопеда, мануального терапевта (30 мин)",Консультация специалиста
Консультация врача-хирурга (B01.057.001),Консультация специалиста
Консультация врача-эндокринолога перв. амбул. (ДМС),Консультация специалиста
Консультация врача травматолога-ортопеда,Консультация специалиста
"Консультация врача-эндокринолога, повторная",Консультация специалиста
Профилактический осмотр врача,Консультация специалиста
Профилактический осмотр врача-педиатра с оформлением заключения,Консультация специалиста
Консультация врача-оториноларинголога перв. амбул. (ДМС),Консультация специалиста
"Консультация врача психотерапевта, леч.-диагн., амб., повторная",Консультация специалиста
Выдача заключения врача психиатра (для зарегистрированных в г.Челябинске),Консультация специалиста
Консультация врача-дерматолога,Консультация специалиста
Консультация врача колопроктолога с осмотром в ректальных зеркалах,Консультация специалиста
Первичный осмотр врача-стоматолога-терапевта с составлением зубной формулы и плана лечения,Консультация специалиста
Консультация врача на дому (вер. часть),Консультация специалиста
Консультация врача - терапевта (первичная),Консультация специалиста
Первичная консультация ВЗРОСЛОГО врача - уролога высшей категории,Консультация специалиста
"Пр.врача-терапевта л/д.,(специалиста)повт.,н/дому (в пределах адм. границы города Москвы, утвержденной до 01.07.2012г., кроме г. Зеленограда)",Консультация специалиста
Консультация врача-анестезиолога,Консультация специалиста
Первичная консультация врача - гастроэнтеролога,Консультация специалиста
Визит врача на дом,Консультация специалиста
Повторная консультация врача-уролога (андролога),Консультация специалиста
Консультация зав.гинекологическим отделением врача акушера - гинеколога Кузьминой С.Е.,Консультация специалиста
Консультация врача-гинеколога перв. амбул. (ДМС),Консультация специалиста
Повторная консультация врача-гастроэнтеролога,Консультация специалиста
Первичная консультация врача-гинеколога,Консультация специалиста
"Консультация врача - отоларинголога, зав.отд., вед.спец-та первичная в амбулатории",Консультация специалиста
"Консультация аллерголога-иммунолога, врача-специалиста первично",Консультация специалиста
Повторная консультация врача  гастроэнтеролога,Консультация специалиста
Консультация врача-терапевта повторная,Консультация специалиста
"Эпифарингоскопия видеоэндоскопическая с консультацией врача-оториноларинголога, кандидата медицинских наук",Консультация специалиста
Консультация детского врача - хирурга повторная в амбулатории,Консультация специалиста
Консультация врача (УРОЛОГИЯ),Консультация специалиста
Первичная консультация врача гинеколога,Консультация специалиста
ВД1-2 Выезд врача терапевта на дом (удаленность 1 категории) к пациентам с подозрением на COVID-19,Консультация специалиста
Консультация врача - терапевта с ЭКГ первичная в амбулатории,Консультация специалиста
Осмотр (консультация) врача - физиотерапевта  (повторный),Консультация специалиста
"Осмотр (консультация) врача-физиотерапевта, первичная",Консультация специалиста
"Консультация детского врача - эндокринолога, зав.отд., вед.спец-та первичная в амбулатории",Консультация специалиста
"Консультация пульмонолога, кандидата мед.наук, врача высшей категории",Консультация специалиста
Консультация врача - хирурга первичная в амбулатории,Консультация специалиста
"Первичная консультация врача- терапевта (кардиолога) к.м.н., врач высшей категории",Консультация специалиста
Первичная консультация врача эндокринолога,Консультация специалиста
"Консультация врача-офтальмолога (к.м.н., зав. отделением, заслуженный врач РФ) первичная",Консультация специалиста
Консультация врача-дерматовенеролога-трихолога (первичная),Консультация специалиста
консультация врача-оториноларинголога повторная (не более 1 месяца от первичной),Консультация специалиста
Консультация врача-маммолога,Консультация специалиста
"Консультация врача-терапевта, первичный",Консультация специалиста
"Консультация пульмонолога, врача высшей категории повторно",Консультация специалиста
Консультация врача терапевта повторная,Консультация специалиста
Консультация врача-онколога повт. амбул. (ДМС),Консультация специалиста
Повторная консультация врача ревматолога,Консультация специалиста
"Консультация врача перед вакцинацией или операцией, или эндоскопией",Консультация специалиста
Осмотр врача-терапевта первичный,Консультация специалиста
Проведение аппликационной анестезии с использованием препаратов по выбору врача,Консультация специалиста
Консультация врача невролога Гаврилюк О.В. (повторная),Консультация специалиста
Консультация врача ортопеда-травматолога,Консультация специалиста
Консультация врача-трихолога первичная,Консультация специалиста
"В01.065.003; 11рием (осмотр,консультация) зубного врача первичный взрослого",Консультация специалиста
Консультация врача- ортодонта,Консультация специалиста
"Консультация врача - хирурга, зав.отд., вед.спец-та первичная в амбулатории",Консультация специалиста
"Консультация врача-гастроэнтеролога первичная (б/к, 2, 1 категории)",Консультация специалиста
"Консультация врача без осмотра, выдача справок",Консультация специалиста
Консультация врача - терапевта (повторная),Консультация специалиста
Осмотр (консультация) врача - физиотерапевта,Консультация специалиста
Первичная консультация врача - аллерголога - пульмонолога,Консультация специалиста
Консультация врача гастроэнтеролога к.м.н. первичная,Консультация специалиста
Консультация врача-физиотерапевта к.м.н.; высш.кат.,Консультация специалиста
Консультация врача-уролога КДЦ,Консультация специалиста
Консультация врача общей практики (семейного врача),Консультация специалиста
Повторная консультация врача-специалиста,Консультация специалиста
"Осмотр (консультация) врача-физиотерапевта, составление плана лечения, наблюдение.",Консультация специалиста
Повторная консультация врача - эндокринолога,Консультация специалиста
Повторная консультация врача акушера-гинеколога,Консультация специалиста
Выезд и медицинские услуги врача помощи на дому в пределах МКАД в рабочие дни.,Консультация специалиста
Выезд на дом врача терапевта,Консультация специалиста
Первичная консультация врача к.м.н.,Консультация специалиста
Первичная консультация врача акушера гинеколога,Консультация специалиста
Комплексная консультация врача-терапевта/ВОП,Консультация специалиста
"Осмотр (консультация) врача физиотерапевта, врачи списка №1",Консультация специалиста
"Консультация врача - офтальмолога, зав.отд., вед.спец-та повторная в амбулатории",Консультация специалиста
"Консультация врача-акушера-гинеколога, первичная",Консультация специалиста
"Первичная консультация врача - терапевта, заведующего терапевтическим отделением",Консультация специалиста
"Консультация врача - кардиолога, зав.отд., вед.спец-та первичная в амбулатории",Консультация специалиста
Повторный осмотр врача-стоматолога терапевта,Консультация специалиста
Первичная консультация ВЗРОСЛОГО  врача - невролога высшей категории,Консультация специалиста
"Консультация врача-аллерголога-иммунолога, дистанционная",Консультация специалиста
Дистанционная консультация врача аллерголога-иммунолога,Консультация специалиста
Консультация врача по комплексной мануальной терапии,Консультация специалиста
Повторная консультация врача - акушера - гинеколога  (без забора и исследования гинекологического материала),Консультация специалиста
Консультация врача стоматолога-хирурга,Консультация специалиста
Консультация врача - невролога (первичная),Консультация специалиста
"Консультация врача-терапевта на дому:Желез/дор.,Красногл(кроме крутые ключи)Ленинский,Самарский",Консультация специалиста
Дистанционная консультация врача-педиатра,Консультация специалиста
"Консультация врача-офтальмолога,  леч.-диагн., амб, первичная",Консультация специалиста
Выезд и медицинские услуги врача помощи на дому в пределах 10 км от МКАД выходные и праздничные дни.,Консультация специалиста
"Консультация врача дерматолога, леч.-диагн., амб., повторная",Консультация специалиста
Первичная консультация узкопрофильного  врача специалиста ( в амбулатории),Консультация специалиста
Консультация врача-акушера-гинеколога амбулаторная первичная,Консультация специалиста
Выезд и осмотр врача на дому (Красноперекопский район),Консультация специалиста
Первичная консультация врача - педиатра - гастроэнтеролога,Консультация специалиста
"Повторная консультация врача - кардиолога., ДИАГНОЗ: 
Тревожное расстройство.
АИТ. Эутиреоз на терапии Эутироксом (75 мкг в день).",Консультация специалиста
Повторная консультация врача гастроэнтеролога,Консультация специалиста
Консультация врача-рефлексотерапевта,Консультация специалиста
Консультация врача(Врач - травматолог - ортопед),Консультация специалиста
"Консультация врача-оториноларинголога, фониатра (повторная в течение 1 месяца)",Консультация специалиста
"Консультация отоларинголога КМН, врача высш.кат.",Консультация специалиста
Консультация врача - травматолога первичная на дому,Консультация специалиста
"Осмотр, консультация врача- стоматолога-терапевта",Консультация специалиста
"Осмотр (консультация) врача-физиотерапевта, повторный",Консультация специалиста
Первичная консультация врача - акушера - гинеколога (без забора и исследования гинекологического материала),Консультация специалиста
Первичная консультация врача Марченко Илья Владимирович,Консультация специалиста
Первичная консультация врача стоматолога терапевта,Консультация специалиста
консультация детского лор врача,Консультация специалиста
Консультация врача перед вакцинацией,Консультация специалиста
